User_ID,Age,Gender,City,Subscription_Type,Monthly_Fee,Watch_Hours,Movies_Watched,Series_Watched,Favorite_Genre,Rating_Given,Device,Membership_Years,Cancelled
10001,19,Female,Hyderabad,Basic,199,27.8,8,5,Drama,4.1,Tablet,2.0,Yes
10002,45,Female,Ahmedabad,Premium,799,163.9,48,16,Sci-Fi,5.0,Smart TV,0.6,No
10003,31,Female,Surat,Premium,799,154.0,37,14,Action,5.0,Laptop,7.0,No
10004,53,Female,Kolkata,Basic,199,38.0,18,2,Sci-Fi,3.9,Laptop,1.7,No
10005,53,Female,Kolkata,Basic,199,56.5,7,5,Romance,4.5,Smart TV,0.8,No
10006,46,Male,Mumbai,Standard,499,86.6,29,8,Action,4.5,Smart TV,6.1,No
10007,22,Female,Chennai,Basic,199,18.7,0,3,Drama,3.3,Mobile,0.6,No
10008,61,Female,Hyderabad,Premium,799,115.0,34,14,Comedy,4.2,Smart TV,1.4,No
10009,26,Male,Surat,Standard,499,89.0,19,11,Drama,4.5,Tablet,7.7,No
10010,62,Male,Pune,Basic,199,51.7,11,6,Thriller,4.0,Tablet,3.5,No
10011,61,Female,Pune,Standard,499,97.6,26,8,Romance,4.3,Laptop,6.4,No
10012,56,Female,Kolkata,Standard,499,62.4,13,8,Comedy,4.0,Mobile,2.7,No
10013,29,Female,Chennai,Standard,499,52.6,17,4,Drama,3.8,Smart TV,2.8,No
10014,19,Male,Surat,Basic,199,51.2,25,6,Crime,3.9,Laptop,1.0,No
10015,23,Female,Mumbai,Basic,199,72.9,21,5,Action,4.8,Tablet,2.8,No
10016,37,Female,Chennai,Standard,499,99.7,27,11,Sci-Fi,4.1,Mobile,3.6,No
10017,47,Female,Ahmedabad,Standard,499,95.5,23,7,Documentary,4.3,Tablet,1.8,No
10018,58,Male,Ahmedabad,Basic,199,50.3,14,7,Crime,4.1,Tablet,3.0,No
10019,42,Male,Jaipur,Premium,799,127.5,33,13,Thriller,5.0,Laptop,6.6,Yes
10020,38,Female,Pune,Basic,199,87.3,24,10,Crime,4.0,Tablet,6.7,No
10021,47,Female,Hyderabad,Standard,499,56.0,19,10,Thriller,4.1,Smart TV,5.7,No
10022,36,Female,Ahmedabad,Premium,799,156.3,41,15,Crime,5.0,Mobile,5.3,No
